Condition	Subject	Session	Correct	CorrectAns	Response	RT
1_	14	1	0	1	18	9958
1_	14	1	1	2	2	9194
1_	14	1	0	3	4	1620
1_	14	1	0	4	15	9467
1_	14	1	0	5	1	11578
1_	14	1	0	6	8	9751
1_	14	1	1	7	7	12036
1_	14	1	0	8	12	6317
1_	14	1	0	9	14	11599
1_	14	1	1	10	10	3676
1_	14	1	1	11	11	1034
1_	14	1	0	12	6	1442
1_	14	1	0	13	16	13666
1_	14	1	0	14	5	10674
1_	14	1	0	15	1	7041
1_	14	1	0	16	3	973
1_	14	1	0	17	9	7219
1_	14	1	0	18	8	10122
1_	24	4	0	1	8	2935
1_	24	4	1	2	2	4596
1_	24	4	1	3	3	3035
1_	24	4	1	4	4	1357
1_	24	4	1	5	5	1347
1_	24	4	0	6	18	5139
1_	24	4	1	7	7	2085
1_	24	4	0	8	11	3818
1_	24	4	1	9	9	3433
1_	24	4	1	10	10	3755
1_	24	4	1	11	11	2056
1_	24	4	0	12	6	1507
1_	24	4	0	13	1	5136
1_	24	4	0	14	16	1465
1_	24	4	1	15	15	1425
1_	24	4	0	16	2	3889
1_	24	4	1	17	17	1545
1_	24	4	0	18	14	5259
1_	29	3	0	1	4	4672
1_	29	3	0	2	9	6140
1_	29	3	0	3	17	2921
1_	29	3	0	4	12	3314
1_	29	3	0	5	1	4186
1_	29	3	1	6	6	1829
1_	29	3	0	7	9	6047
1_	29	3	1	8	8	6247
1_	29	3	0	9	10	2647
1_	29	3	0	10	11	3371
1_	29	3	0	11	2	8299
1_	29	3	0	12	16	2243
1_	29	3	1	13	13	1682
1_	29	3	0	14	9	6375
1_	29	3	0	15	14	1812
1_	29	3	0	16	7	4550
1_	29	3	0	17	3	2100
1_	29	3	0	18	7	1761
1_	4	1	1	1	1	3042
1_	4	1	0	2	10	5585
1_	4	1	1	3	3	2522
1_	4	1	0	4	15	8052
1_	4	1	0	5	7	12042
1_	4	1	0	6	5	16704
1_	4	1	0	7	4	6069
1_	4	1	1	8	8	1540
1_	4	1	0	9	6	12671
1_	4	1	0	10	5	11069
1_	4	1	1	11	11	4243
1_	4	1	0	12	4	13194
1_	4	1	0	13	2	14244
1_	4	1	0	14	12	9162
1_	4	1	0	15	14	17605
1_	4	1	1	16	16	2368
1_	4	1	1	17	17	1722
1_	4	1	0	18	13	11714
1_	9	2	0	1	8	4813
1_	9	2	1	2	2	1903
1_	9	2	1	3	3	2476
1_	9	2	0	4	1	11437
1_	9	2	1	5	5	1637
1_	9	2	0	6	4	12448
1_	9	2	1	7	7	1583
1_	9	2	0	8	14	3577
1_	9	2	0	9	16	4465
1_	9	2	0	10	18	5932
1_	9	2	0	11	13	3449
1_	9	2	0	12	17	6479
1_	9	2	0	13	12	1843
1_	9	2	0	14	15	8682
1_	9	2	1	15	15	1031
1_	9	2	0	16	11	1264
1_	9	2	0	17	3	4378
1_	9	2	0	18	9	1560
2_	14	4	1	1	1	1967
2_	14	4	0	2	10	4953
2_	14	4	1	3	3	6142
2_	14	4	0	4	16	4014
2_	14	4	1	5	5	6199
2_	14	4	1	6	6	8840
2_	14	4	0	7	3	4803
2_	14	4	0	8	9	2440
2_	14	4	0	9	4	2299
2_	14	4	0	10	12	10652
2_	14	4	0	11	7	2027
2_	14	4	0	12	11	10234
2_	14	4	1	13	13	1283
2_	14	4	1	14	14	5773
2_	14	4	1	15	15	2116
2_	14	4	0	16	18	3015
2_	14	4	1	17	17	1609
2_	14	4	0	18	8	3692
2_	24	3	1	1	1	2882
2_	24	3	0	2	8	4503
2_	24	3	1	3	3	1826
2_	24	3	1	4	4	4586
2_	24	3	0	5	16	3123
2_	24	3	0	6	17	4860
