Condition	Subject	Session	Correct	CorrectAns	Response	TestIndex	RT
1_	1	1	0	9	14	1	2770
1_	1	1	0	1	10	2	10966
1_	1	1	0	14	7	3	6729
1_	1	1	0	6	15	4	8102
1_	1	1	0	4	1	5	2582
1_	1	1	0	11	13	6	1532
1_	1	1	0	3	1	7	3657
1_	1	1	0	2	11	8	4325
1_	1	1	0	13	2	9	4499
1_	1	1	0	18	14	10	7713
1_	1	1	0	8	11	11	1181
1_	1	1	1	17	17	12	953
1_	1	1	0	5	6	13	939
1_	1	1	0	7	18	14	1702
1_	1	1	0	10	1	15	2878
1_	1	1	1	12	12	16	1050
1_	1	1	0	15	9	17	1134
1_	1	1	0	16	15	18	846
2_	1	2	0	1	14	1	1133
2_	1	2	0	7	11	2	645
2_	1	2	0	9	16	3	825
2_	1	2	0	16	9	4	582
2_	1	2	0	5	4	5	364
2_	1	2	0	2	15	6	440
2_	1	2	0	6	14	7	702
2_	1	2	0	18	16	8	313
2_	1	2	0	8	13	9	650
2_	1	2	0	14	6	10	357
2_	1	2	0	15	5	11	703
2_	1	2	0	4	11	12	469
2_	1	2	0	13	3	13	512
2_	1	2	0	10	4	14	390
2_	1	2	0	3	12	15	294
2_	1	2	0	12	18	16	1591
2_	1	2	1	17	17	17	733
2_	1	2	0	11	13	18	445
3_	1	3	0	4	18	1	1149
3_	1	3	0	18	5	2	574
3_	1	3	0	9	7	3	318
3_	1	3	0	14	17	4	276
3_	1	3	0	5	15	5	299
3_	1	3	0	15	11	6	1263
3_	1	3	0	16	9	7	595
3_	1	3	1	3	3	8	262
3_	1	3	0	10	5	9	523
3_	1	3	0	8	17	10	655
3_	1	3	0	7	12	11	599
3_	1	3	0	1	11	12	462
3_	1	3	0	11	6	13	703
3_	1	3	0	12	17	14	292
3_	1	3	0	2	18	15	306
3_	1	3	0	13	2	16	337
3_	1	3	0	6	15	17	280
3_	1	3	0	17	2	18	317
4_	1	4	0	6	10	1	2053
4_	1	4	0	15	4	2	605
4_	1	4	0	5	10	3	319
4_	1	4	0	12	17	4	484
4_	1	4	0	3	5	5	329
4_	1	4	0	17	10	6	331
4_	1	4	0	7	9	7	251
4_	1	4	0	10	13	8	307
4_	1	4	1	14	14	9	127
4_	1	4	1	11	11	10	1367
4_	1	4	0	9	15	11	847
4_	1	4	1	2	2	12	363
4_	1	4	0	16	14	13	980
4_	1	4	0	4	12	14	858
4_	1	4	1	13	13	15	257
4_	1	4	0	18	2	16	370
4_	1	4	0	1	13	17	345
4_	1	4	0	8	6	18	275
1_	2	1	0	9	14	1	5330
1_	2	1	0	4	18	2	10962
1_	2	1	0	10	1	3	3541
1_	2	1	0	6	11	4	4671
1_	2	1	0	14	12	5	5079
1_	2	1	1	16	16	6	7628
1_	2	1	0	1	2	7	2806
1_	2	1	0	11	13	8	9414
1_	2	1	0	8	7	9	2770
1_	2	1	0	15	8	10	3673
1_	2	1	1	2	2	11	7706
1_	2	1	1	12	12	12	1997
1_	2	1	0	13	11	13	11110
1_	2	1	0	17	7	14	3123
1_	2	1	1	7	7	15	1409
1_	2	1	0	3	15	16	6274
1_	2	1	0	5	16	17	4486
1_	2	1	0	18	3	18	3184
3_	2	3	0	6	3	1	4062
3_	2	3	1	5	5	2	1536
3_	2	3	0	12	14	3	1930
3_	2	3	0	11	18	4	1791
3_	2	3	0	15	8	5	1442
3_	2	3	0	1	15	6	1583
3_	2	3	0	8	3	7	1665
3_	2	3	0	9	10	8	3171
3_	2	3	0	3	9	9	2593
3_	2	3	0	4	8	10	4499
3_	2	3	0	17	16	11	4187
3_	2	3	0	2	13	12	1645
3_	2	3	0	10	1	13	3572
3_	2	3	0	18	2	14	2145
3_	2	3	0	13	7	15	1636
3_	2	3	0	14	1	16	1496
3_	2	3	0	7	2	17	4702
3_	2	3	1	16	16	18	2115
2_	2	2	0	8	14	1	4253
2_	2	2	1	11	11	2	1424
2_	2	2	0	12	7	3	7382
2_	2	2	0	1	8	4	5091
2_	2	2	0	3	18	5	2165
2_	2	2	0	16	6	6	3911
2_	2	2	0	10	17	7	2870
2_	2	2	0	4	2	8	3238
2_	2	2	0	9	16	9	6969
2_	2	2	0	18	12	10	2670
2_	2	2	0	17	10	11	1936
2_	2	2	0	7	5	12	2137
2_	2	2	0	13	14	13	1367
2_	2	2	0	15	1	14	1543
2_	2	2	0	5	4	15	3063
2_	2	2	0	14	3	16	2321
2_	2	2	0	6	5	17	3481
2_	2	2	0	2	4	18	3129
3_	2	3	1	14	14	1	1912
3_	2	3	0	8	9	2	3138
3_	2	3	0	12	2	3	2248
3_	2	3	0	5	1	4	3136
3_	2	3	0	7	12	5	6854
3_	2	3	0	1	7	6	1309
3_	2	3	0	10	1	7	2040
3_	2	3	0	9	17	8	2123
3_	2	3	0	18	4	9	4308
3_	2	3	1	11	11	10	1957
3_	2	3	0	13	8	11	2263
3_	2	3	1	6	6	12	1996
3_	2	3	0	4	18	13	2216
3_	2	3	1	15	15	14	1159
3_	2	3	0	2	10	15	1922
3_	2	3	0	17	5	16	3562
3_	2	3	0	16	6	17	3465
3_	2	3	1	3	3	18	1658
4_	2	4	0	5	15	1	1552
4_	2	4	0	12	17	2	2106
4_	2	4	0	1	13	3	2913
4_	2	4	0	3	7	4	1876
4_	2	4	0	7	4	5	1982
4_	2	4	1	18	18	6	5802
4_	2	4	1	8	8	7	3566
4_	2	4	0	9	6	8	1883
4_	2	4	0	13	12	9	3260
4_	2	4	1	14	14	10	1369
4_	2	4	0	6	16	11	1897
4_	2	4	0	16	1	12	2011
4_	2	4	0	15	2	13	1903
4_	2	4	0	11	9	14	3318
4_	2	4	0	10	5	15	2959
4_	2	4	0	17	10	16	1561
4_	2	4	1	2	2	17	1731
4_	2	4	0	4	17	18	4722
2_	3	1	0	5	8	1	2304
2_	3	1	0	16	14	2	2852
2_	3	1	0	2	10	3	2843
2_	3	1	0	3	2	4	1691
2_	3	1	0	7	5	5	2426
2_	3	1	0	6	11	6	4451
2_	3	1	0	18	1	7	2162
2_	3	1	0	12	3	8	1980
2_	3	1	0	11	12	9	6857
2_	3	1	0	15	4	10	3341
2_	3	1	0	14	7	11	3582
2_	3	1	0	8	13	12	9303
2_	3	1	0	10	14	13	1395
2_	3	1	0	13	5	14	4274
2_	3	1	0	4	11	15	1802
2_	3	1	0	9	7	16	1961
2_	3	1	0	17	9	17	2177
2_	3	1	0	1	15	18	1528
1_	3	1	0	9	12	1	3996
1_	3	1	0	15	6	2	3538
1_	3	1	0	18	14	3	4180
1_	3	1	0	16	9	4	1665
1_	3	1	0	4	6	5	3041
1_	3	1	0	14	9	6	3681
1_	3	1	0	12	15	7	2557
1_	3	1	1	5	5	8	2597
1_	3	1	0	2	11	9	3881
1_	3	1	0	10	6	10	2269
1_	3	1	0	11	13	11	1517
1_	3	1	0	1	16	12	4700
1_	3	1	0	13	6	13	3153
1_	3	1	0	6	10	14	4551
1_	3	1	0	3	12	15	3956
1_	3	1	1	7	7	16	1193
1_	3	1	1	8	8	17	3822
1_	3	1	0	17	1	18	1371
3_	3	4	0	4	17	1	1809
3_	3	4	0	18	16	2	1031
3_	3	4	0	17	15	3	3744
3_	3	4	0	16	3	4	3857
3_	3	4	0	15	10	5	3171
3_	3	4	1	8	8	6	6873
3_	3	4	0	2	9	7	3408
3_	3	4	1	1	1	8	2620
3_	3	4	0	6	7	9	2202
3_	3	4	0	13	6	10	3968
3_	3	4	0	14	11	11	2026
3_	3	4	0	11	7	12	3762
3_	3	4	0	10	2	13	2258
3_	3	4	0	7	4	14	1334
3_	3	4	0	12	14	15	5351
3_	3	4	0	5	15	16	3092
3_	3	4	0	9	18	17	4572
3_	3	4	0	3	7	18	1881
1_	4	1	0	7	4	1	3165
1_	4	1	1	8	8	2	3008
1_	4	1	0	12	4	3	7667
1_	4	1	0	16	9	4	4706
1_	4	1	0	4	1	5	4478
1_	4	1	1	3	3	6	4449
1_	4	1	1	5	5	7	3585
1_	4	1	0	2	13	8	6132
1_	4	1	0	1	7	9	3193
1_	4	1	0	11	18	10	3564
1_	4	1	0	15	17	11	7756
1_	4	1	0	9	16	12	1841
1_	4	1	0	10	14	13	2757
1_	4	1	0	6	2	14	2978
1_	4	1	0	14	11	15	8425
1_	4	1	0	13	9	16	3550
1_	4	1	0	18	10	17	1015
1_	4	1	0	17	14	18	3354
2_	4	2	0	2	3	1	4556
2_	4	2	0	4	5	2	5562
2_	4	2	0	8	16	3	4323
2_	4	2	0	11	17	4	8168
2_	4	2	0	6	10	5	6753
2_	4	2	1	9	9	6	2366
2_	4	2	1	15	15	7	2001
2_	4	2	0	3	1	8	6205
2_	4	2	1	13	13	9	6091
2_	4	2	0	17	4	10	5212
2_	4	2	0	16	10	11	3999
2_	4	2	1	7	7	12	1669
2_	4	2	0	12	6	13	8646
2_	4	2	1	14	14	14	5324
2_	4	2	0	10	3	15	3241
2_	4	2	0	1	8	16	3353
2_	4	2	0	5	11	17	4743
2_	4	2	0	18	1	18	3168
3_	4	3	0	8	18	1	6735
3_	4	3	0	6	11	2	3796
3_	4	3	0	7	6	3	2322
3_	4	3	1	10	10	4	1402
3_	4	3	0	3	13	5	5410
3_	4	3	1	16	16	6	1581
3_	4	3	0	13	3	7	2195
3_	4	3	0	5	8	8	2145
3_	4	3	1	4	4	9	6091
3_	4	3	0	9	14	10	1643
3_	4	3	0	11	9	11	2505
3_	4	3	0	14	12	12	4054
3_	4	3	0	17	2	13	1029
3_	4	3	1	12	12	14	3455
3_	4	3	0	2	15	15	2708
3_	4	3	0	15	17	16	2729
3_	4	3	0	18	5	17	1525
3_	4	3	0	1	10	18	1523
4_	4	4	0	4	8	1	3390
4_	4	4	0	10	2	2	4362
4_	4	4	0	6	18	3	2209
4_	4	4	0	8	16	4	5020
4_	4	4	1	1	1	5	2588
4_	4	4	1	9	9	6	2013
4_	4	4	0	3	10	7	1600
4_	4	4	0	18	4	8	2879
4_	4	4	0	5	17	9	4036
4_	4	4	0	14	8	10	4423
4_	4	4	0	7	12	11	2884
4_	4	4	1	13	13	12	7194
4_	4	4	0	2	11	13	2176
4_	4	4	0	15	6	14	4166
4_	4	4	0	17	14	15	2872
4_	4	4	0	12	7	16	2526
4_	4	4	0	16	10	17	1290
4_	4	4	0	11	5	18	3964
1_	5	1	0	12	18	1	4660
1_	5	1	0	2	12	2	2324
1_	5	1	0	18	11	3	3359
