Condition	Subject	Session	Correct	CorrectAns	Response	TestIndex	RT	SessionTime
1_	13	4	0	1	12	1	928	16:53:37
1_	13	4	0	2	16	2	810	16:53:37
1_	13	4	0	3	7	3	496	16:53:37
1_	13	4	0	4	17	4	261	16:53:37
1_	13	4	0	5	7	5	802	16:53:37
1_	13	4	0	6	18	6	467	16:53:37
1_	13	4	0	7	1	7	1076	16:53:37
1_	13	4	0	8	18	8	880	16:53:37
1_	13	4	0	9	4	9	504	16:53:37
1_	13	4	0	10	2	10	360	16:53:37
1_	13	4	0	11	8	11	416	16:53:37
1_	13	4	0	12	9	12	329	16:53:37
1_	13	4	0	13	10	13	559	16:53:37
1_	13	4	0	14	4	14	567	16:53:37
1_	13	4	0	15	18	15	686	16:53:37
1_	13	4	0	16	3	16	619	16:53:37
1_	13	4	0	17	1	17	485	16:53:37
1_	13	4	0	18	16	18	34	16:53:37
1_	19	4	1	1	1	1	2691	13:27:17
1_	19	4	1	2	2	2	6677	13:27:17
1_	19	4	1	3	3	3	11080	13:27:17
1_	19	4	1	4	4	4	5332	13:27:17
1_	19	4	1	5	5	5	3160	13:27:17
1_	19	4	1	6	6	6	2665	13:27:17
1_	19	4	1	7	7	7	5802	13:27:17
1_	19	4	1	8	8	8	2047	13:27:17
1_	19	4	0	9	14	9	12463	13:27:17
1_	19	4	1	10	10	10	2248	13:27:17
1_	19	4	1	11	11	11	1017	13:27:17
1_	19	4	1	12	12	12	1623	13:27:17
1_	19	4	1	13	13	13	4155	13:27:17
1_	19	4	1	14	14	14	3288	13:27:17
1_	19	4	1	15	15	15	1516	13:27:17
1_	19	4	1	16	16	16	4909	13:27:17
1_	19	4	1	17	17	17	4368	13:27:17
1_	19	4	1	18	18	18	4293	13:27:17
1_	8	1	1	1	1	1	1826	15:56:48
1_	8	1	0	2	13	2	4601	15:56:48
1_	8	1	1	3	3	3	2327	15:56:48
1_	8	1	1	4	4	4	1419	15:56:48
1_	8	1	0	5	10	5	3379	15:56:48
1_	8	1	0	6	9	6	3809	15:56:48
1_	8	1	1	7	7	7	2170	15:56:48
1_	8	1	1	8	8	8	2213	15:56:48
1_	8	1	0	9	10	9	7920	15:56:48
1_	8	1	0	10	17	10	1320	15:56:48
1_	8	1	1	11	11	11	1529	15:56:48
1_	8	1	1	12	12	12	1238	15:56:48
1_	8	1	0	13	2	13	3178	15:56:48
1_	8	1	0	14	5	14	2584	15:56:48
1_	8	1	0	15	6	15	1432	15:56:48
1_	8	1	1	16	16	16	1558	15:56:48
1_	8	1	0	17	14	17	1519	15:56:48
1_	8	1	0	18	15	18	4015	15:56:48
2_	13	3	0	1	2	1	2811	16:45:46
2_	13	3	0	2	7	2	995	16:45:46
2_	13	3	0	3	9	3	919	16:45:46
2_	13	3	0	4	2	4	735	16:45:46
2_	13	3	0	5	12	5	1017	16:45:46
2_	13	3	0	6	4	6	636	16:45:46
2_	13	3	0	7	1	7	978	16:45:46
2_	13	3	0	8	17	8	1039	16:45:46
2_	13	3	0	9	18	9	809	16:45:46
2_	13	3	0	10	6	10	735	16:45:46
2_	13	3	0	11	3	11	549	16:45:46
2_	13	3	0	12	3	12	767	16:45:46
2_	13	3	0	13	12	13	749	16:45:46
2_	13	3	0	14	9	14	937	16:45:46
2_	13	3	0	15	16	15	1249	16:45:46
2_	13	3	0	16	7	16	1128	16:45:46
2_	13	3	0	17	18	17	787	16:45:46
2_	13	3	0	18	17	18	872	16:45:46
2_	19	3	1	1	1	1	1913	13:19:16
2_	19	3	0	2	3	2	6417	13:19:16
2_	19	3	1	3	3	3	10868	13:19:16
2_	19	3	1	4	4	4	2315	13:19:16
2_	19	3	1	5	5	5	8444	13:19:16
2_	19	3	1	6	6	6	2986	13:19:16
2_	19	3	1	7	7	7	1568	13:19:16
2_	19	3	1	8	8	8	1455	13:19:16
2_	19	3	1	9	9	9	2056	13:19:16
2_	19	3	0	10	7	10	7615	13:19:16
2_	19	3	1	11	11	11	3679	13:19:16
2_	19	3	0	12	16	12	5963	13:19:16
2_	19	3	1	13	13	13	1325	13:19:16
2_	19	3	1	14	14	14	2514	13:19:16
2_	19	3	1	15	15	15	936	13:19:16
2_	19	3	0	16	17	16	10106	13:19:16
2_	19	3	0	17	10	17	1871	13:19:16
2_	19	3	0	18	16	18	2862	13:19:16
2_	8	2	1	1	1	1	2053	16:04:49
2_	8	2	1	2	2	2	2393	16:04:49
2_	8	2	1	3	3	3	1484	16:04:49
2_	8	2	0	4	12	4	8079	16:04:49
2_	8	2	1	5	5	5	3395	16:04:49
2_	8	2	1	6	6	6	2129	16:04:49
2_	8	2	1	7	7	7	1278	16:04:49
2_	8	2	1	8	8	8	1658	16:04:49
2_	8	2	1	9	9	9	2526	16:04:49
2_	8	2	1	10	10	10	1771	16:04:49
2_	8	2	1	11	11	11	876	16:04:49
2_	8	2	0	12	13	12	5935	16:04:49
2_	8	2	0	13	16	13	2678	16:04:49
2_	8	2	1	14	14	14	2194	16:04:49
2_	8	2	1	15	15	15	1486	16:04:49
2_	8	2	1	16	16	16	7770	16:04:49
2_	8	2	0	17	13	17	6199	16:04:49
2_	8	2	1	18	18	18	950	16:04:49
3_	13	2	0	1	5	1	4157	16:38:32
3_	13	2	0	2	5	2	2346	16:38:32
3_	13	2	0	3	2	3	1738	16:38:32
3_	13	2	0	4	15	4	1724	16:38:32
3_	13	2	0	5	7	5	1625	16:38:32
3_	13	2	0	6	9	6	1280	16:38:32
3_	13	2	0	7	10	7	1741	16:38:32
3_	13	2	0	8	7	8	1280	16:38:32
3_	13	2	0	9	15	9	1354	16:38:32
3_	13	2	0	10	6	10	1471	16:38:32
3_	13	2	0	11	13	11	1320	16:38:32
3_	13	2	0	12	2	12	954	16:38:32
3_	13	2	0	13	16	13	1367	16:38:32
3_	13	2	0	14	8	14	1058	16:38:32
3_	13	2	0	15	14	15	1084	16:38:32
3_	13	2	1	16	16	16	899	16:38:32
3_	13	2	0	17	15	17	663	16:38:32
3_	13	2	0	18	3	18	827	16:38:32
3_	19	2	1	1	1	1	15896	13:10:18
3_	19	2	1	2	2	2	2367	13:10:18
3_	19	2	1	3	3	3	1921	13:10:18
3_	19	2	0	4	5	4	5897	13:10:18
3_	19	2	0	5	9	5	3490	13:10:18
3_	19	2	1	6	6	6	6833	13:10:18
3_	19	2	1	7	7	7	1092	13:10:18
3_	19	2	0	8	12	8	8942	13:10:18
3_	19	2	0	9	10	9	4380	13:10:18
3_	19	2	1	10	10	10	7780	13:10:18
3_	19	2	0	11	9	11	4891	13:10:18
3_	19	2	1	12	12	12	2249	13:10:18
3_	19	2	1	13	13	13	1457	13:10:18
3_	19	2	1	14	14	14	1810	13:10:18
3_	19	2	1	15	15	15	5958	13:10:18
3_	19	2	0	16	18	16	2565	13:10:18
3_	19	2	0	17	1	17	7878	13:10:18
3_	19	2	0	18	16	18	10865	13:10:18
3_	3	3	0	1	7	1	2556	10:57:16
3_	3	3	0	2	13	2	3478	10:57:16
3_	3	3	1	3	3	3	1846	10:57:16
3_	3	3	0	4	12	4	1168	10:57:16
3_	3	3	0	5	2	5	1347	10:57:16
3_	3	3	0	6	18	6	1216	10:57:16
3_	3	3	0	7	9	7	1417	10:57:16
3_	3	3	0	8	5	8	1527	10:57:16
3_	3	3	1	9	9	9	1890	10:57:16
3_	3	3	0	10	17	10	1642	10:57:16
3_	3	3	1	11	11	11	3012	10:57:16
3_	3	3	0	12	10	12	2729	10:57:16
3_	3	3	0	13	6	13	1097	10:57:16
3_	3	3	0	14	2	14	3111	10:57:16
3_	3	3	0	15	9	15	2544	10:57:16
3_	3	3	0	16	11	16	2957	10:57:16
3_	3	3	1	17	17	17	2573	10:57:16
3_	3	3	0	18	3	18	5148	10:57:16
3_	8	3	1	1	1	1	1300	16:12:13
3_	8	3	1	2	2	2	1560	16:12:13
3_	8	3	1	3	3	3	1274	16:12:13
3_	8	3	1	4	4	4	16050	16:12:13
3_	8	3	1	5	5	5	2040	16:12:13
3_	8	3	1	6	6	6	1611	16:12:13
3_	8	3	1	7	7	7	1117	16:12:13
3_	8	3	1	8	8	8	1262	16:12:13
3_	8	3	1	9	9	9	2418	16:12:13
3_	8	3	1	10	10	10	2699	16:12:13
3_	8	3	1	11	11	11	1041	16:12:13
3_	8	3	1	12	12	12	1256	16:12:13
3_	8	3	1	13	13	13	2102	16:12:13
3_	8	3	1	14	14	14	1698	16:12:13
3_	8	3	1	15	15	15	2169	16:12:13
3_	8	3	1	16	16	16	1179	16:12:13
3_	8	3	1	17	17	17	1200	16:12:13
3_	8	3	1	18	18	18	1737	16:12:13
4_	13	1	0	1	9	1	2017	16:30:47
4_	13	1	0	2	16	2	4916	16:30:47
4_	13	1	0	3	16	3	1811	16:30:47
4_	13	1	0	4	16	4	3141	16:30:47
4_	13	1	0	5	7	5	2882	16:30:47
4_	13	1	0	6	8	6	2865	16:30:47
4_	13	1	0	7	8	7	3514	16:30:47
4_	13	1	0	8	7	8	3772	16:30:47
4_	13	1	1	9	9	9	2169	16:30:47
4_	13	1	0	10	5	10	1698	16:30:47
4_	13	1	0	11	18	11	966	16:30:47
4_	13	1	0	12	9	12	591	16:30:47
4_	13	1	0	13	12	13	660	16:30:47
4_	13	1	0	14	13	14	980	16:30:47
4_	13	1	0	15	12	15	4454	16:30:47
4_	13	1	1	16	16	16	2202	16:30:47
4_	13	1	1	17	17	17	1040	16:30:47
4_	13	1	0	18	1	18	1443	16:30:47
4_	19	1	0	1	10	1	13256	12:37:26
4_	19	1	0	2	14	2	5431	12:37:26
4_	19	1	0	3	12	3	4336	12:37:26
4_	19	1	1	4	4	4	3008	12:37:26
4_	19	1	1	5	5	5	1676	12:37:26
4_	19	1	1	6	6	6	2720	12:37:26
4_	19	1	1	7	7	7	6193	12:37:26
4_	19	1	0	8	11	8	2963	12:37:26
4_	19	1	0	9	13	9	2380	12:37:26
4_	19	1	1	10	10	10	1715	12:37:26
4_	19	1	0	11	4	11	5516	12:37:26
4_	19	1	0	12	2	12	3411	12:37:26
4_	19	1	0	13	1	13	4990	12:37:26
4_	19	1	0	14	17	14	2679	12:37:26
4_	19	1	0	15	16	15	9420	12:37:26
4_	19	1	0	16	12	16	3993	12:37:26
4_	19	1	0	17	14	17	5660	12:37:26
4_	19	1	1	18	18	18	1760	12:37:26
